playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8476915,singleSeason,20192020,,,,802.12,4,6,38,69,64,136,0,0,6.9,693.77,38,51.51,1,0,0,0,101.45,30,-19,10,1054,,,,,,,,,,,,,,,,,,,,
8477451,singleSeason,20192020,,,,845.63,11,9,69,114,69,44,1,1,6.0,765.08,69,54.6,1,0,0,0,74.55,54,4,20,1128,,,,,,,,,,,,,,,,,,,,
8477464,singleSeason,20192020,,,,177.9,3,0,4,19,16,7,0,0,12.97,164.93,4,25.0,0,0,0,0,0.0,4,-4,3,247,,,,,,,,,,,,,,,,,,,,
8477541,singleSeason,20192020,,,,192.17,3,1,4,17,10,20,0,0,0.27,171.87,4,0.0,0,0,0,0,20.03,21,7,4,252,,,,,,,,,,,,,,,,,,,,
8478136,singleSeason,20192020,,,,107.67,2,0,9,9,10,18,0,0,0.0,100.08,9,0.0,0,0,0,0,7.58,5,-2,2,154,,,,,,,,,,,,,,,,,,,,
8478493,singleSeason,20192020,,,,974.47,21,8,22,102,62,93,1,1,4.6,846.35,22,46.16,4,0,0,1,123.52,43,7,29,1294,,,,,,,,,,,,,,,,,,,,
8475455,singleSeason,20192020,,,,1342.6,13,1,104,58,69,194,0,0,2.33,1193.85,104,0.0,0,0,0,1,146.42,74,-2,14,1724,,,,,,,,,,,,,,,,,,,,
8475799,singleSeason,20192020,,,,992.78,18,11,42,115,67,52,4,11,125.72,865.05,42,25.0,2,0,0,0,2.02,19,-3,29,1279,,,,,,,,,,,,,,,,,,,,
8476316,singleSeason,20192020,,,,987.88,,,,,19,,,,,,,,,,,,,,,,,1,0,0,6,7,458,52,17,389,18,430,64,,0.895,15,512,54,81.25,90.46511627906978,
8476331,singleSeason,20192020,,,,1188.43,10,0,37,74,59,105,0,0,45.22,1008.65,37,0.0,0,0,0,2,134.57,77,4,10,1517,,,,,,,,,,,,,,,,,,,,
8476392,singleSeason,20192020,,,,733.12,6,4,23,68,49,137,0,0,11.47,613.0,23,53.77,1,0,1,2,108.65,22,-4,10,1027,,,,,,,,,,,,,,,,,,,,
8476460,singleSeason,20192020,,,,1548.12,44,29,45,170,71,34,10,20,234.8,1295.77,45,46.93,6,2,0,0,17.55,49,2,73,1676,,,,,,,,,,,,,,,,,,,,
8476480,singleSeason,20192020,,,,978.78,14,17,45,98,65,108,2,4,99.35,765.98,45,46.8,2,0,4,6,113.45,47,-5,31,1411,,,,,,,,,,,,,,,,,,,,
8476945,singleSeason,20192020,,,,3268.55,,,,,58,,,,,,,,,,,,,,,,,5,6,0,31,21,1656,189,49,1418,50,1530,216,,0.922,56,1796,140,87.5,92.6797385620915,
8476952,singleSeason,20192020,,,,512.53,7,4,37,38,46,57,0,0,4.83,487.68,37,47.05,0,0,0,0,20.02,28,4,11,711,,,,,,,,,,,,,,,,,,,,
8477085,singleSeason,20192020,,,,2.82,0,0,0,1,1,0,0,0,0.0,2.82,0,0.0,0,0,0,0,0.0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
8477220,singleSeason,20192020,,,,1279.02,24,7,12,112,59,25,1,7,61.7,1123.35,12,0.0,0,0,0,0,93.97,91,11,31,1558,,,,,,,,,,,,,,,,,,,,
