RK,NAME,KEEP?,POS,POS_RK,TEAM,AGE,SALARY,FP
314,Thomas Novak,N,C,100,NSH,27,CAD 3.5,225.9
315,Jeff Petry,N,D,89,DET,36,CAD 2.3,238.9
316,Evan Rodrigues,N,C/LW,78,FLA,31,CAD 3.0,229.3
317,Alex Vlasic,N,D,97,CHI,23,CAD 4.6,232.4
318,Henry Thrun,N,D,119,SJS,23,CAD 1.0,216.1
319,Simon Nemec,N,D,124,NJD,20,CAD 0.9,213.6
320,Erik Gudbranson,N,D,99,CBJ,32,CAD 4.0,231.3
321,Simon Edvinsson,N,D,116,DET,21,CAD 0.9,218.3
322,Jack Roslovic,N,RW,81,CAR,27,CAD 2.8,206.8
323,Oliver Ekman-Larsson,N,D,151,TOR,33,CAD 3.5,196.3
324,Will Smith,N,C,101,SJS,19,CAD 1.0,225.6
325,John Marino,N,D,142,UTA,27,CAD 4.4,201.4
326,Dante Fabbro,N,D,115,NSH,26,CAD 2.5,218.7
327,Luke Evangelista,N,RW,82,NSH,22,CAD 0.8,203.7
328,Josh Manson,N,D,120,COL,32,CAD 4.5,215.2
329,Artem Zub,N,D,105,OTT,28,CAD 4.6,226.2
330,Janis Moser,N,D,122,TBL,24,CAD 3.4,214.2
331,Brandon Saad,N,LW,83,STL,31,CAD 4.5,215.3
332,Jacob Middleton,N,D,107,MIN,28,CAD 2.5,225.3
333,Darren Raddysh,N,D,129,TBL,28,CAD 1.0,209.0
334,Marco Rossi,N,C,109,MIN,22,CAD 0.9,216.8
335,Mikey Anderson,N,D,95,LAK,25,CAD 4.1,235.2
336,Laurent Brossoit,N,G,36,CHI,31,CAD 3.3,147.4
337,Anders Lee,N,LW,72,NYI,34,CAD 7.0,238.6
338,Adam Henrique,N,C/LW,63,EDM,34,CAD 3.0,247.9
339,Josh Doan,N,LW/RW,80,UTA,22,CAD 0.9,208.9
340,Dmitri Voronkov,N,LW,81,CBJ,23,CAD 0.9,215.7
341,Warren Foegele,N,LW/RW,79,LAK,28,CAD 3.5,211.5
342,Zach Benson,N,LW,94,BUF,19,CAD 1.0,206.0
